ID,lon,lat,Elev
0011920U319G,-77.44751504,44.60589499,211.3784
0011920U323G,-77.55557332,44.67783999,276.5287
0011920U324G,-77.59474111,44.71006253,291.7368
0011920U325G,-77.60251897,44.75006267,299.1567
0011920U326G,-77.61057524,44.79006277,313.3381
0011920U327G,-77.61974211,44.82506279,306.2775
0011920U328G,-77.65057635,44.84089628,322.628
0011920U329G,-77.7025228,44.87284093,348.1633
0011920U330G,-77.70474523,44.90089651,345.195
0011920U331G,-77.71974587,44.94589646,334.0293
0011920U332G,-77.73974633,44.98006324,335.8945
0011920U333G,-77.72557973,45.02089595,333.7675
0011920U334G,-77.77252662,45.0428402,329.3594
0011920U335G,-77.85475174,45.05284028,328.5201
0011920U337G,-77.88058642,45.08784069,332.079
0011921U002,-77.99059386,45.2778407,402.387
0011921U339G,-77.82752953,45.13006305,359.5684
0011921U340G,-77.84253078,45.1558965,400.2715
0011921U341G,-77.8955903,45.21506268,417.2676
0011921U342G,-77.91753593,45.23589594,395.149
0011921U343G,-77.96559305,45.2578406,397.5013
0011921U344G,-77.98253805,45.26784068,400.6497
0011921U345G,-78.03559535,45.29700755,401.1814
0011921U346G,-78.06059584,45.357841,457.9519
0011921U347G,-78.09365227,45.40006337,449.1651
0011921U349G,-78.13976491,45.41284133,429.8461
0011921U351G,-78.19365541,45.45784156,446.747
0011925U1585,-78.79562164,44.65505821,257.9427
0011925U1586,-78.79978763,44.71005805,266.478
0011925U1587,-78.80756626,44.72589125,272.2899
0011925U1590,-78.81062561,44.77783758,276.0575
0011925U1591,-78.80257346,44.80589362,271.1439
0011925U1592,-78.77757097,44.82283787,275.9658
0011925U1593,-78.77757097,44.82283787,272.7151
0011925U1594,-78.77562678,44.82089358,278.1008
0011928U95S,-77.38251587,45.9758927,143.9316
0011928U96S,-77.42196162,45.99867079,150.9682
119303703,-77.54363231,45.7789473,223.535
119303704,-78.31366023,45.98089489,281.837
0011930U1979,-78.59978694,45.55283043,433.0144
0011930U302S,-78.82478917,44.72283583,269.108
0011930U303S,-78.77561993,44.74283582,274.3535
0011930U306S,-78.66061539,44.76783785,287.3344
0011930U314S,-78.72256771,44.9278373,272.307
0011930U322S,-78.72978578,45.08006036,317.0656
0011930U333S,-78.63256009,44.96589358,320.4338
0011930U342S,-78.64755942,44.7758935,291.6198
0011930U370S,-78.51755416,44.57283752,268.2724
0011930U374S,-78.42060607,44.6028382,262.8247
0011932U558S,-78.20781941,44.55811619,243.4135
0011932U560S,-78.29060048,44.58006008,316.5342
0011932U562S,-78.34560258,44.5550603,246.9166
0011937U005,-78.36477304,46.01283902,299.2219
0011937U2501,-78.32560497,46.00089484,286.8187
0011937U2502,-78.26976973,45.98589492,289.4038
0011937U2503,-78.25060235,45.98589492,280.3663
0011937U2504,-78.22476812,45.97589489,272.0258
0011937U2505,-78.18059992,45.96283924,270.0628
0011937U2520,-77.6375253,45.82089342,231.6692
0011937U2521,-77.59057867,45.79783732,228.4995
0011937U2522,-77.50474485,45.76089043,214.9951
0011937U2524,-77.42251849,45.75283586,188.0423
0011937U2525,-77.37251672,45.74005841,165.2987
0011960U3275,-78.21559752,44.55089396,267.8855
0011960U3276,-78.23559829,44.54589397,268.33
0011960U3281,-78.22976465,44.57006055,247.8356
0011960U3282,-78.2497656,44.58089365,247.3543
0011960U3284,-78.29060048,44.58006008,315.941
0011960U3285,-78.30976784,44.56783791,255.0072
0011960U3286,-78.33976896,44.56283803,245.1923
0011960U3287,-78.34976937,44.5578381,245.0364
0011960U3289,-78.34754712,44.55283808,247.1472
0011960U3290,-78.38254862,44.5478382,284.3667
0011960U3291,-78.39254909,44.53506047,277.9108
0011960U3298,-78.35754757,44.57089367,251.3526
0011960U3299,-78.36254792,44.58006032,251.5184
0011960U3300,-78.35754774,44.58506028,253.6847
0011960U3301,-78.37477071,44.59783803,293.9119
0011960U3302,-78.38977214,44.61283772,290.8737
0011960U3303,-78.45060716,44.59589343,281.2361
0011960U3304,-78.47477476,44.59089329,257.013
0011960U3305,-78.4956089,44.58783763,249.7062
0011960U3306,-78.53977702,44.55283736,277.3328
0011960U3307,-78.54561065,44.53783738,249.3677
0011960U3308,-78.54755515,44.54005961,249.6079
0011960U3309,-78.56561147,44.54089302,266.9056
0011960U3310,-78.59755695,44.53783753,267.6288
