ID,lon,lat,Elev
0011965U554,-79.54563845,43.59005807,81.0937
0011965U552,-79.62564082,43.58589093,135.0647
0011965U550,-79.60564012,43.59589114,126.3315
0011965U549,-79.57063786,43.56283558,80.7689
0011965U548,-79.57758343,43.61589122,121.3733
0011965U546,-79.58980534,43.56089093,87.1667
0011965U545,-79.64480798,43.5578353,127.582
0011965U544,-79.6498081,43.55089079,127.4531
0011965U543,-79.66258635,43.54589066,107.7582
0011965U542,-79.66564202,43.54783509,129.4345
0011965U541,-79.6825872,43.55783527,139.6434
0011965U540,-79.61063999,43.575891,106.2731
0011965U538,-79.6256394,43.51783494,96.4192
0011965U537,-79.66758646,43.53589059,140.7326
0011965U536,-79.65258597,43.5458907,120.8307
0011965U535,-79.56758293,43.62505791,117.4325
0011965U533,-79.61758477,43.5778354,111.8984
0011965U128,-79.89481759,43.33588712,226.5058
0011965U127,-79.87759489,43.34588729,244.0238
0011965U126,-79.83259301,43.34783172,132.5249
0011965U125,-79.81064792,43.33505419,92.1839
0011965U124,-79.80759219,43.33005423,90.3081
0011965U123,-79.79981419,43.32588754,86.0129
0011965U122,-79.74981067,43.3900541,105.8267
0011965U121,-79.78259077,43.36005406,102.3169
0011965U120,-79.85564922,43.36283158,210.0944
0011965U117,-79.82259271,43.34283183,103.8378
0011965U015,-79.6748078,43.48783415,124.2562
0011965U014,-79.75064535,43.46088853,150.415
0011965U010,-79.6806424,43.52283477,160.347
0011965U009,-79.66064184,43.54505733,105.0082
0011965U008,-79.7556468,43.61283457,184.7143
0011965U007,-79.72258895,43.65783489,207.8893
0011965U006,-79.69564465,43.70005727,188.2524
0011965U005,-79.66758811,43.7250569,180.0258
0011965U004,-79.73258967,43.66589033,212.2792
00119653185A,-79.67119766,43.53227943,151.0023
00119643010B,-79.71481056,43.52283473,181.1776
00119643010A,-79.71481056,43.52283473,181.1956
00119643008A,-79.90176223,43.32394249,235.5101
0011963U3485,-79.78564688,43.32894293,83.2666
0011963U3484,-79.77064587,43.34005386,77.468
0011963U3483,-79.73258795,43.37005377,82.3865
0011963U3482,-79.71758723,43.37588711,80.3368
0011963U3481,-79.71064165,43.39505468,82.6646
0011963U3479,-79.68564063,43.42783354,85.3595
0011963U3478,-79.67980742,43.44005581,85.1927
0011963U3476,-79.65064007,43.46283428,79.5553
0011963U3475,-79.63563972,43.4758904,84.0604
0011963U3474,-79.61258319,43.49783503,83.542
0011963U3473,-79.62758395,43.5150572,96.8937
0011963U3472,-79.61758339,43.5228349,83.1429
0011963U3471,-79.59480529,43.54589074,83.2553
0011963U3470,-79.5856384,43.5508908,77.7672
0011963U3469,-79.55758297,43.57783582,84.204
0011963U123,-79.3148108,44.74283372,219.4877
0011963U122,-79.54063821,43.59505795,96.656
0011961U9503,-80.20983986,44.50782792,177.6562
0011961U9502,-80.20983986,44.50782792,177.9016
0011961U432,-79.16980024,44.4708911,220.5684
0011961U430,-79.27980844,44.7128343,223.2251
0011961U429,-79.32981155,44.74283346,219.1738
0011961U428,-79.33064494,44.74783343,219.9212
0011961U427,-79.34481227,44.75283325,219.9319
0011961U426,-79.34481221,44.74783322,219.4631
0011961U425,-79.33064522,44.76088878,219.6795
0011961U423,-79.34981279,44.77005549,219.4451
0011961U3401,-79.71982516,44.80283109,181.7051
0011961U3400,-79.72065854,44.79588668,183.5612
0011961U3399,-79.70260213,44.78783122,185.2607
0011961U3398,-79.69065701,44.77283127,183.2448
